State;AreaName;All_Poverty;M_Poverty;F_Poverty;FIPS;Med_Income;Med_Income_White;Med_Income_Black;Med_Income_Nat_Am;Med_Income_Asian;Hispanic;M_With;M_Without;F_With;F_Without;All_With;All_Without;Incidence_Rate;Avg_Ann_Incidence;recent_trend;Mortality_Rate;Avg_Ann_Deaths;POPESTIMATE2015
AK;Aleutians East Borough, Alaska;553;334;219;2013;61518.0;72639.0;31250.0;54750.0;62679.0;51250.0;876;1317;566;540;1442;1857;*;3 or fewer;*;*;*;3341
AK;Aleutians West Census Area, Alaska;499;273;226;2016;84306.0;97321.0;93750.0;48750.0;81250.0;77500.0;2470;769;1707;564;4177;1333;*;3 or fewer;*;*;*;5702
AK;Anchorage Municipality, Alaska;23914;10698;13216;2020;78326.0;87235.0;50535.0;53935.0;63757.0;53926.0;120747;23245;122426;21393;243173;44638;61.5;131;stable;47.3;96;298695
AK;Bethel Census Area, Alaska;4364;2199;2165;2050;51012.0;92647.0;73661.0;41594.0;110625.0;160114.0;6396;2708;6627;1774;13023;4482;62.7;6;stable;58.3;5;17946
AK;Bristol Bay Borough, Alaska;69;33;36;2060;79750.0;88000.0;;63333.0;;25625.0;419;124;349;67;768;191;*;3 or fewer;*;*;*;892
AK;Denali Borough, Alaska;254;139;115;2068;81544.0;81029.0;;47500.0;;;822;253;674;250;1496;503;*;3 or fewer;*;*;*;1919
AK;Dillingham Census Area, Alaska;894;446;448;2070;54173.0;81161.0;;42212.0;;86458.0;1678;900;1837;546;3515;1446;*;3 or fewer;*;*;*;4997
AK;Fairbanks North Star Borough, Alaska;7752;3523;4229;2090;71068.0;74242.0;56353.0;48333.0;56339.0;55284.0;40605;6957;40210;5322;80815;12279;58.1;36;stable;54;31;99631
AK;Haines Borough, Alaska;135;74;61;2100;58750.0;67888.0;;45714.0;;;960;422;944;228;1904;650;*;3 or fewer;*;*;*;2534
AK;Juneau City and Borough, Alaska;2110;1145;965;2110;85746.0;90553.0;106964.0;57821.0;80893.0;76083.0;13739;2433;13582;2213;27321;4646;35.1;9;stable;34.4;8;32756
AK;Kenai Peninsula Borough, Alaska;5558;2596;2962;2122;63684.0;64663.0;122660.0;46458.0;58125.0;64148.0;22391;6435;21668;5433;44059;11868;64.9;39;stable;50.1;28;58059
AK;Ketchikan Gateway Borough, Alaska;1640;792;848;2130;64222.0;73313.0;;45536.0;45859.0;83250.0;5339;1428;5527;1082;10866;2510;88.3;12;stable;70.8;9;13709
AK;Kodiak Island Borough, Alaska;1552;962;590;2150;70887.0;82857.0;26827.0;48179.0;56585.0;87000.0;4941;1920;4943;1479;9884;3399;74.7;7;stable;76.2;6;13889
AK;Lake and Peninsula Borough, Alaska;247;119;128;2164;50781.0;72500.0;;38482.0;;;445;286;513;230;958;516;*;3 or fewer;*;*;*;1563
AK;Matanuska-Susitna Borough, Alaska;9454;4346;5108;2170;72983.0;74141.0;55577.0;56724.0;53789.0;77367.0;39282;9314;37751;8084;77033;17398;69.7;51;stable;53.9;37;101095
AK;Nome Census Area, Alaska;2592;1399;1193;2180;48868.0;85455.0;;37277.0;78056.0;86607.0;3506;1605;3430;1114;6936;2719;103.6;6;stable;96.1;6;9846
AK;North Slope Borough, Alaska;976;532;444;2185;72576.0;86250.0;107500.0;59554.0;126964.0;88563.0;4847;1248;2579;910;7426;2158;153.4;6;stable;124.9;5;9687
AK;Northwest Arctic Borough, Alaska;1824;951;873;2188;63648.0;99444.0;;52227.0;69375.0;;2690;1455;2542;1021;5232;2476;67.6;3;*;*;*;7752
AK;Sitka City and Borough, Alaska;798;424;374;2220;70376.0;81029.0;143125.0;40625.0;75000.0;58333.0;3635;841;3591;692;7226;1533;44;4;stable;39.6;3;8863
AK;Southeast Fairbanks Census Area, Alaska;1011;507;504;2240;62670.0;71349.0;51563.0;20774.0;33750.0;78750.0;2889;853;2454;666;5343;1519;76.8;5;stable;*;*;6839
AK;Valdez-Cordova Census Area, Alaska;1029;598;431;2261;78810.0;82090.0;;45000.0;105417.0;;3670;1292;3566;884;7236;2176;66.1;6;stable;60.8;4;9362
AK;Yakutat City and Borough, Alaska;35;25;10;2282;72500.0;76250.0;;45625.0;127188.0;;289;78;217;59;506;137;*;3 or fewer;*;*;*;613
AK;Yukon-Koyukuk Census Area, Alaska;1252;666;586;2290;38491.0;63000.0;;29750.0;76250.0;;1795;1225;1692;907;3487;2132;58.3;3;*;*;*;5533
AL;Autauga County, Alabama;7057;2983;4074;1001;51281.0;56854.0;32073.0;;2499.0;61296.0;23500;2781;25417;2727;48917;5508;74.9;43;stable;59.3;34;55347
AL;Baldwin County, Alabama;25798;12018;13780;1003;50254.0;52594.0;26967.0;92670.0;36250.0;42468.0;79768;13644;88015;11343;167783;24987;66.9;170;stable;48;121;203709
AL;Barbour County, Alabama;6421;2856;3565;1005;32964.0;45039.0;21171.0;;;27132.0;9578;2163;10750;1569;20328;3732;74.6;25;stable;61.3;20;26489
AL;Bibb County, Alabama;3488;1495;1993;1007;38678.0;42263.0;27793.0;;;43750.0;9342;1012;9421;995;18763;2007;86.4;23;stable;67.8;17;22583
AL;Blount County, Alabama;9552;4593;4959;1009;45813.0;46601.0;31507.0;61310.0;;35271.0;24629;3642;25922;3017;50551;6659;69.7;51;stable;59.9;43;57673
AL;Bullock County, Alabama;2486;981;1505;1011;31938.0;52930.0;24595.0;;;;4088;1066;4191;762;8279;1828;65.8;9;stable;29.7;4;10696
AL;Butler County, Alabama;5094;2073;3021;1013;32229.0;42922.0;23453.0;;90833.0;;8129;1223;9482;1236;17611;2459;58.3;17;stable;52.6;15;20154
AL;Calhoun County, Alabama;23325;9500;13825;1015;41703.0;46399.0;26071.0;48409.0;;30575.0;47992;7440;53518;6245;101510;13685;84.2;120;stable;59.9;86;115620
AL;Chambers County, Alabama;7273;3091;4182;1017;34177.0;42336.0;25442.0;;62417.0;;13928;2198;15131;2476;29059;4674;75.4;34;falling;63.1;29;34123
AL;Cherokee County, Alabama;4918;2421;2497;1019;36296.0;36679.0;32973.0;;11313.0;;11401;1404;11730;1137;23131;2541;82.4;32;stable;54;21;25859
AL;Chilton County, Alabama;8288;3871;4417;1021;41627.0;43395.0;35189.0;83564.0;22981.0;28939.0;18164;3252;18371;3712;36535;6964;73.9;39;stable;66;34;43943
AL;Choctaw County, Alabama;3093;1206;1887;1023;33536.0;45321.0;21661.0;;;;5384;934;6098;850;11482;1784;49.2;10;stable;43;9;13170
