"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40","C41","C42","C43","C44","C45","C46","C47","C48","C49","C50","C51","C52","C53","C54"
37.0933,,36.8871,,,36.6118,,,,,,41.7805,,,,,,38.1897,37.0933,33.4905,,37.0246,36.3362,37.162,37.5737,39.62,37.162,40.0945,38.3946,,39.0763,39.1783,38.1897,39.0763,,,,,,37.5737,,,35.853,,,,,,,,37.7792,38.7698,,
38.4629,39.6878,38.6334,38.8379,,37.5737,38.9401,38.9742,40.6355,39.8235,41.2425,43.4524,,41.6125,42.2165,43.8515,39.6539,38.3946,38.258,35.7148,37.162,38.8039,36.7495,38.3946,38.3946,40.9055,38.1897,41.3771,39.2123,40.973,40.4328,39.9929,38.9401,40.2976,41.2425,41.1414,40.9055,38.6675,39.6539,39.1443,38.7016,40.3314,37.745,40.4666,38.1213,38.5993,39.9929,39.4502,,42.6182,39.5521,40.568,45.4072,45.8024
38.8379,39.7557,38.9061,39.2803,,38.872,39.2463,40.2976,41.1078,40.9055,41.6461,43.8515,43.6188,41.7133,42.384,44.2831,39.9591,38.9401,38.9061,35.8876,38.2239,39.0422,38.2239,39.4162,40.0268,42.25,39.6878,43.0524,40.2976,42.7185,41.5116,40.9055,39.5521,41.7133,41.5453,42.7185,41.5116,39.4162,39.7557,39.62,39.1443,40.6693,37.7107,40.7368,38.3263,38.7698,40.1622,39.5521,39.9591,42.6182,39.7896,40.5004,45.8353,46.0655
38.9061,39.6878,38.7357,39.1443,,38.7357,38.7357,39.9591,40.6693,40.6693,41.5453,43.8848,43.3525,41.8476,42.5178,44.3494,40.3652,39.0082,38.9401,36.3018,38.258,39.2463,38.258,39.3483,40.0607,42.25,39.5521,42.8521,40.1622,42.5178,41.2761,40.7706,39.4502,41.6461,41.4444,42.7853,41.7469,39.4162,39.8235,39.62,39.4842,40.399,37.8477,41.0067,38.3263,38.8039,40.2976,39.5521,39.9929,42.6516,39.9252,40.7368,46.0655,46.4265
39.0422,39.586,39.0082,39.4842,,39.1443,39.2803,40.3652,41.2425,41.1414,42.4844,44.2831,43.519,41.814,42.4509,44.3825,39.3483,39.0422,39.0082,37.8819,38.4629,39.1103,38.2239,39.3823,39.9252,42.116,39.3483,42.8855,39.9591,42.6516,41.5789,41.0404,39.6539,41.6461,41.478,42.9856,41.7133,39.2123,39.7557,39.8235,39.4842,40.8043,37.7792,40.9055,38.4629,38.9401,40.2976,39.62,40.1622,42.7853,39.9252,40.8381,45.8682,46.6232
38.8379,39.5521,38.5993,39.1443,,38.8039,38.8039,40.0268,40.7031,40.6693,43.0524,45.3743,43.3525,41.9818,42.5178,44.5482,39.4162,39.0763,39.0763,38.258,38.3263,39.0763,38.258,39.4162,40.0268,42.183,39.3143,42.9189,39.9591,42.5513,41.3435,40.7031,39.3483,41.6125,41.5116,42.9856,41.5116,39.5521,39.7557,39.8235,39.5521,40.7368,37.8477,40.9055,38.5311,39.0082,40.3652,39.6539,40.1622,42.8521,39.8913,40.7706,46.0655,46.6887
39.0082,39.5521,38.872,39.4842,,39.3483,39.4162,40.399,41.2425,41.3098,43.6188,46.0655,43.9844,41.9147,42.5847,44.5482,39.3483,39.0763,39.1443,38.872,38.3605,39.1443,38.3263,39.4162,40.0268,42.25,39.3483,42.9856,39.8913,42.5847,41.5116,40.8381,39.4842,41.7133,41.5116,43.019,41.6461,39.5521,39.6878,39.7896,39.4162,40.8043,37.9161,41.1078,38.7016,39.0763,40.4666,39.8235,40.2976,42.9189,39.9591,40.8381,46.0655,46.7215
38.9742,39.5521,38.6675,39.2123,,38.8379,38.872,40.0607,40.7706,40.7706,43.7186,46.0655,43.7186,42.0489,42.5847,44.7467,39.3483,39.1443,39.0763,39.0082,38.5993,39.1783,38.258,39.4162,40.0268,42.317,39.3483,42.9856,39.9252,42.5847,41.3771,40.7706,39.3823,41.5789,41.478,42.25,41.478,39.4162,39.7557,40.0268,39.5521,41.1414,38.0529,41.2425,38.7357,39.1443,40.568,39.8913,,42.9189,40.0607,40.8381,46.2953,46.7215
39.0082,39.5521,38.8379,39.2803,,39.4162,39.2803,40.3314,41.2425,41.4108,42.7853,45.0773,43.6521,42.25,42.6516,44.9121,39.3483,39.2123,39.3143,39.2803,38.3946,39.2463,38.2922,39.5521,40.1284,42.3505,39.4162,42.9189,39.9591,42.7185,41.5116,40.9055,39.4502,41.7469,41.6125,42.0824,41.0404,39.2463,39.8913,39.7896,39.5521,41.2088,38.0529,41.1751,38.872,39.2463,40.6355,39.9591,,43.1191,40.2299,40.973,46.4921,47.0486
38.9061,39.2803,38.6675,39.2123,,38.9061,38.8379,40.1284,40.7706,40.8043,42.2835,44.7137,43.4524,42.4174,42.7853,45.3083,40.2976,39.3143,39.3483,39.5521,38.4629,39.2803,38.2922,39.62,40.1622,42.4509,39.4162,42.8855,39.9591,42.5513,41.3098,40.7706,39.3143,41.6461,41.5116,43.019,41.2425,39.4162,39.8913,40.0268,39.7896,41.1078,38.1555,41.3098,38.9401,39.4162,40.7368,40.1622,,43.3525,40.4666,41.1751,46.6887,47.212
