accelerometer_mean,accelerometer_min,accelerometer_max,accelerometer_std,gyroscope_mean,gyroscope_min,gyroscope_max,gyroscope_std,sound_mean,sound_min,sound_max,sound_std,target
9.811476292,9.758895473,9.84941956,0.1462557,0.165775,,0.353383,0.736964,,,,,Still
9.93926783,7.77437422,17.14663119,1.775944297,0.36325714,0.11669388,0.59387896,0.22897,89.22119,89.6514335,89.3352773,0.19113358,Car
9.827177836,9.84817127,9.849262113,0.1119916,0.1524617,,0.269354,0.71271,,,,,Still
9.67339113,7.659673729,12.3429759,0.862553258,0.3644315,0.246362,0.52512245,0.1552773,87.473771,87.473771,87.473771,2.284186361,Car
9.993466321,8.96562961,1.89164512,0.541176,0.1832298,0.2666857,0.3887567,0.98819138,89.7773232,89.7773232,89.7773232,0.6389235,Car
9.33481711,9.14929238,9.524397,0.13856563,,,,,57.36112724,57.36112724,57.36112724,1.6611253,Car
9.789771293,9.75875712,9.816196876,0.13488593,0.499865,0.2731872,0.657922,0.181123,65.1583691,65.1583691,65.1583691,,Train
9.9611476,6.431645697,14.226333,1.4468414,0.1492237,0.6566731,0.69413822,0.119666966,,,,,Bus
9.639711442,8.99613455,1.278194,0.25552885,0.4155464,0.814424,0.1232628,0.374237,89.884483,89.884483,89.884483,0.1171437,Bus
9.6218563,9.14786483,1.6852813,0.26779552,0.3745782,0.717439,0.848234,0.2139824,89.81573848,89.81573848,89.81573848,0.499581,Train
9.86456463,9.554662882,1.3433459,0.114261228,0.131283457,0.131283457,0.131283457,0.333783,7.5762121,7.5762121,7.5762121,7.974878399,Still
9.446526844,8.91486,1.1336463,0.31744677,0.22525384,0.5361722,0.58538724,0.1311361,89.79213933,89.79213933,89.79213933,0.37445572,Train
9.365727324,3.758711875,13.7248981,2.58426729,0.296977565,0.49531932,0.77731878,0.23198726,85.313447,85.313447,85.313447,7.35722179,Car
9.93277713,9.6812271,1.2423155,0.145971591,0.17878648,0.463391,0.5792512,0.12215627,89.7637857,89.7846558,89.8191456,0.78233577,Car
9.8262115,8.52216239,11.36447368,0.389263437,0.2933485,0.28126348,0.3543262,0.17916,78.5624183,78.5624183,78.5624183,0.727791429,Bus
1.1886734,1.164826,1.1983758,0.13581181,0.637832,0.249223,0.12354881,0.2531852,8.6289433,8.6289433,8.6289433,,Still
9.7915321,9.183982831,1.5732469,0.298172238,0.25173571,0.246238566,0.257231575,0.7773231,84.4749283,84.41888953,84.539678,0.7925796,Still
9.528491943,9.519519,9.98713936,0.312273768,0.18372343,0.968555,0.959588476,0.189651912,89.75435982,89.75435982,89.75435982,0.25711921,Car
1.984946,4.18434743,2.96536867,4.49692563,1.93665541,0.6789456,3.5498734,1.213517578,,,,,Walking
1.19246377,1.8524721,1.25111884,0.5437799,0.88144367,0.8181956,0.393253255,0.17638935,69.3492219,69.3492219,69.3492219,1.85337429,Still
9.899483559,6.76255523,15.59466885,2.83977798,1.834563396,0.329424214,3.51255573,1.66838366,89.79579577,89.79579577,89.79579577,0.52428386,Walking
9.76491419,8.99911664,11.1785264,0.7394188,0.27931444,0.5971842,0.6281793,0.14852824,,,,,Car
9.84979637,9.814481615,9.86758275,0.135549,0.166868,0.165265,0.3195794,0.685684,,,,,Still
9.821241691,9.76553544,9.88349274,0.23715294,0.16959,0.165265,0.3195794,0.791429,,,,,Still
9.73397471,9.571597,11.343445,0.29513633,0.2737147,0.44572237,0.412518147,0.14345521,84.13318985,83.797983,84.3589748,0.36698758,Still
9.714569983,9.1185924,1.132275,0.254989455,0.223254,0.2992616,0.14191476,0.29359452,69.72577522,69.72577522,69.72577522,3.65398291,Train
8.5348668,3.97928487,14.53978287,3.69797115,1.244517,0.27558382,3.37638313,0.81341533,89.75972662,89.75972662,89.75972662,,Walking
1.2564492,9.75475912,1.66852521,0.27265996,0.29667163,0.4118884,0.131832193,0.31923552,88.9821194,88.25861417,89.7562464,1.2319914,Bus
9.76439172,9.312685111,1.14786,0.127722181,0.76397984,0.1947118,0.137931159,0.59364178,57.654976,57.654976,57.654976,0.8541318,Still
1.412155,5.53768946,18.9514757,3.328673217,,,,,72.39755612,67.2985268,77.49659156,7.21112576,Walking
9.93558184,9.247339274,1.486867,0.272532111,0.2163599,0.61665,0.39251721,0.8664734,86.66733311,86.66733311,86.66733311,1.548786831,Car
1.7268573,1.6758,1.139388,0.942851,0.24817646,0.23583291,1.1267984,0.37637554,89.76592281,89.754321,89.78144242,0.2194834,Walking
9.681336618,8.96632314,1.55118523,0.412846612,0.4935781,0.6737324,0.82163599,0.31913168,82.26147787,82.26147787,82.26147787,1.6164919,Car
11.6894917,9.764512915,14.281256,1.2832478,0.615398648,0.51964659,2.2835837,0.65596224,77.6422669,77.6422669,77.6422669,4.54934999,Walking
9.6954913,9.654372895,9.72991633,0.177325,,,,,49.376573,49.376573,49.376573,1.6611253,Car
