Final,I1,I2,I3,I4,I5,I6,I7
On Time,354,478.8,271.2,203.4,544.8,402.3,275.7
On Time,426,556.5,291,212.625,549.9,416.8125,284.1375
On Time,303,422.1,245.4,182.925,493.5,372.2625,250.0875
On Time,360,539.7,313.8,230.175,638.1,487.6875,317.3625
On Time,336,472.5,269.4,202.725,539.1,407.3625,271.3875
On Time,504,632.1,331.8,237.825,607.5,465.4125,306.3375
On Time,345,510.3,300.6,221.625,573.9,443.8125,300.3375
On Time,360,491.4,273.6,204.3,565.2,426.15,282.45
On Time,408,531.3,295.8,218.025,561.9,430.3125,289.8375
On Time,345,485.1,274.2,205.425,554.7,409.6125,272.1375
On Time,315,447.3,255.6,185.85,507,398.25,253.95
On Time,363,596.4,316.8,224.1,584.4,431.55,277.05
On Time,321,470.4,271.2,212.4,573.6,411.3,272.7
On Time,351,487.2,266.4,221.4,556.8,401.4,273
On Time,375,495.6,284.4,220.05,591,425.025,288.075
On Time,387,659.4,320.4,222.75,561,440.775,320.25
On Time,321,495.6,270,199.35,517.8,386.775,258.525
On Time,321,453.6,258,190.35,515.4,385.875,260.625
On Time,324,455.7,259.8,197.325,522.3,393.8625,260.8875
On Time,351,510.3,318,228.15,570.6,413.775,285.525
On Time,330,451.5,253.8,194.175,522.9,394.0875,262.1625
On Time,375,527.1,315,240.525,630.3,436.1625,304.9875
On Time,477,657.3,373.8,282.375,736.5,556.9875,372.8625
On Time,318,449.4,259.2,195.3,526.8,395.55,259.05
On Time,318,432.6,253.2,190.35,513,374.175,247.125
On Time,387,548.1,313.8,227.475,600.9,580.275,337.425
On Time,375,518.7,280.2,210.375,580.5,444.4875,290.9625
On Time,330,462,259.2,195.3,524.4,396.45,262.95
On Time,363,522.9,293.4,217.125,572.7,418.1625,272.5875
On Time,357,522.9,312.6,226.125,627.9,449.6625,301.0875
On Time,363,476.7,282.6,206.775,556.5,406.6875,284.3625
On Time,339,474.6,276,208.8,559.2,414.9,277.5
On Time,342,497.7,293.4,215.325,589.5,453.2625,302.2875
On Time,486,592.2,315.6,228.15,611.4,448.875,310.425
On Time,366,499.8,296.4,217.35,585,438.975,299.925
On Time,456,653.1,373.8,276.975,738.9,550.6875,371.9625
On Time,318,451.5,259.8,189.225,506.7,377.2125,248.1375
On Time,360,487.2,285.6,210.6,576,466.2,287.4
On Time,387,504,300,222.3,560.4,409.95,283.05
On Time,357,474.6,264,197.1,534,403.65,276.15
On Time,516,613.2,321.6,237.6,624,558,331.2
On Time,372,529.2,283.2,210.6,552,415.8,285
On Time,456,646.8,373.2,280.35,741,562.275,497.25
